"uf";"nome_munic";"populacao"
"PA";"Altamira";115969
"PA";"Anajás";29688
"PA";"Ananindeua";535547
"PA";"Anapu";28607
"PA";"Augusto Corrêa";46471
"PA";"Aurora do Pará";31773
"PA";"Aveiro";16404
"PA";"Bagre";31325
"PA";"Baião";48459
"PA";"Bannach";3262
"PA";"Barcarena";127027
"PA";"Belém";1499641
"PA";"Belterra";17839
"PA";"Benevides";63768
"PA";"Bom Jesus do Tocantins";17118
"PA";"Bonito";16530
"PA";"Bragança";128914
"PA";"Brasil Novo";14983
"PA";"Brejo Grande do Araguaia";7368
"PA";"Breu Branco";67332
"PA";"Breves";103497
"PA";"Bujaru";29427
"PA";"Cachoeira do Piriá";34609
"PA";"Cachoeira do Arari";24064
"PA";"Cametá";139364
"PA";"Canaã dos Carajás";38103
"PA";"Capanema";69431
"PA";"Capitão Poço";54425
"PA";"Castanhal";203251
"PA";"Chaves";23948
"PA";"Colares";12131
"PA";"Conceição do Araguaia";47991
"PA";"Concórdia do Pará";33781
"PA";"Cumaru do Norte";13761
"PA";"Curionópolis";17846
"PA";"Curralinho";34994
"PA";"Curuá";14587
"PA";"Curuçá";40584
"PA";"Dom Eliseu";60469
"PA";"Eldorado do Carajás";33940
"PA";"Faro";7070
"PA";"Floresta do Araguaia";20525
"PA";"Garrafão do Norte";26111
"PA";"Goianésia do Pará";41081
"PA";"Gurupá";33755
"PA";"Igarapé-Açu";39023
"PA";"Igarapé-Miri";63036
"PA";"Inhangapi";11861
"PA";"Ipixuna do Pará";65625
"PA";"Irituia";32595
"PA";"Itaituba";101395
"PA";"Itupiranga";53355
"PA";"Jacareacanga";7590
"PA";"Jacundá";59842
"PA";"Juruti";58960
"PA";"Limoeiro do Ajuru";29282
"PA";"Mãe do Rio";30235
"PA";"Magalhães Barata";8573
"PA";"Marabá";283542
"PA";"Maracanã";29516
"PA";"Marapanim";28450
"PA";"Marituba";133685
"PA";"Medicilândia";31975
"PA";"Melgaço";27890
"PA";"Mocajuba";31530
"PA";"Moju";83182
"PA";"Mojuí dos Campos";16184
"PA";"Monte Alegre";58162
"PA";"Muaná";40906
"PA";"Nova Esperança do Piriá";21444
"PA";"Nova Ipixuna";16854
"PA";"Nova Timboteua";15506
"PA";"Novo Progresso";25766
"PA";"Novo Repartimento";77214
"PA";"Óbidos";52306
"PA";"Oeiras do Pará";32850
"PA";"Oriximiná";74016
"PA";"Ourém";17961
"PA";"Ourilândia do Norte";33335
"PA";"Pacajá";48414
"PA";"Palestina do Pará";7582
"PA";"Paragominas";114503
"PA";"Parauapebas";213576
"PA";"Pau D'Arco";5410
"PA";"Peixe-Boi";8081
"PA";"Piçarra";12979
"PA";"Placas";31659
"PA";"Ponta de Pedras";31549
"PA";"Portel";62945
"PA";"Porto de Moz";41801
"PA";"Prainha";29846
"PA";"Primavera";10857
"PA";"Quatipuru";13702
"PA";"Redenção";85563
"PA";"Rio Maria";18201
"PA";"Rondon do Pará";52803
"PA";"Rurópolis";51500
"PA";"Salinópolis";40922
"PA";"Salvaterra";24075
"PA";"Santa Bárbara do Pará";21449
"PA";"Santa Cruz do Arari";10314
"PA";"Santa Izabel do Pará";71837
"PA";"Santa Luzia do Pará";19843
"PA";"Santa Maria das Barreiras";21850
"PA";"Santa Maria do Pará";24995
"PA";"Santana do Araguaia";74419
"PA";"Santarém";306480
"PA";"Santarém Novo";6753
"PA";"Santo Antônio do Tauá";31918
"PA";"São Caetano de Odivelas";18129
"PA";"São Domingos do Araguaia";25753
"PA";"São Domingos do Capim";32139
"PA";"São Félix do Xingu";132138
"PA";"São Francisco do Pará";15930
"PA";"São Geraldo do Araguaia";24705
"PA";"São João da Ponta";6217
"PA";"São João de Pirabas";23244
"PA";"São João do Araguaia";14051
"PA";"São Miguel do Guamá";59632
"PA";"São Sebastião da Boa Vista";26974
"PA";"Sapucaia";6009
"PA";"Senador José Porfírio";11480
"PA";"Soure";25565
"PA";"Tailândia";108969
"PA";"Terra Alta";11847
"PA";"Terra Santa";18917
"PA";"Tomé-Açu";64030
"PA";"Tracuateua";31257
"PA";"Trairão";19168
"PA";"Tucumã";40136
"PA";"Tucuruí";115144
"PA";"Ulianópolis";60761
"PA";"Uruará";45435
"PA";"Vigia";54172
"PA";"Viseu";61751
"PA";"Vitória do Xingu";15279
"PA";"Xinguara";45086
"AP";"Serra do Navio";5488
"AP";"Amapá";9187
"AP";"Pedra Branca do Amapari";17067
"AP";"Calçoene";11306
"AP";"Cutias";6101
"AP";"Ferreira Gomes";7967
"AP";"Itaubal";5617
"AP";"Laranjal do Jari";51362
"AP";"Macapá";512902
"AP";"Mazagão";22053
"AP";"Oiapoque";27906
"AP";"Porto Grande";22452
"AP";"Pracuúba";5246
"AP";"Santana";123096
"AP";"Tartarugalzinho";17769
"AP";"Vitória do Jari";16254
"TO";"Abreulândia";2594
"TO";"Aguiarnópolis";6892
"TO";"Aliança do Tocantins";5346
"TO";"Almas";6979
"TO";"Alvorada";8396
"TO";"Ananás";9492
"TO";"Angico";3454
"TO";"Aparecida do Rio Negro";4848
"TO";"Aragominas";5731
"TO";"Araguacema";7155
"TO";"Araguaçu";8467
"TO";"Araguaína";183381
"TO";"Araguanã";5793
"TO";"Araguatins";36170
"TO";"Arapoema";6616
"TO";"Arraias";10534
"TO";"Augustinópolis";18643
"TO";"Aurora do Tocantins";3783
"TO";"Axixá do Tocantins";9787
"TO";"Babaçulândia";10666
"TO";"Bandeirantes do Tocantins";3592
"TO";"Barra do Ouro";4632
"TO";"Barrolândia";5651
"TO";"Bernardo Sayão";4448
"TO";"Bom Jesus do Tocantins";5008
"TO";"Brasilândia do Tocantins";2211
"TO";"Brejinho de Nazaré";5519
"TO";"Buriti do Tocantins";11497
"TO";"Cachoeirinha";2284
"TO";"Campos Lindos";10312
"TO";"Cariri do Tocantins";4441
"TO";"Carmolândia";2603
"TO";"Carrasco Bonito";4130
"TO";"Caseara";5442
"TO";"Centenário";2936
"TO";"Chapada de Areia";1410
"TO";"Chapada da Natividade";3331
